gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,gate_mode,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,8192,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,128,0,2980.3824,mxfp4_moe_g1_a4w4_NE48_H7168_E3072_BM128,0.0%,5365.8467,mxfp4_moe_g2_a4w4_NE48_H7168_E3072_TOPK6_BM128_NONATOMIC,0.0%,8346.2291,0,0,0,778.07,401.03,
gfx950,256,16384,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,128,0,4137.7125,mxfp4_moe_g1_a4w4_NE48_H7168_E3072_BM128,0.0%,8132.9006,mxfp4_moe_g2_a4w4_NE48_H7168_E3072_TOPK6_BM128_NONATOMIC,0.0%,12270.6131,0,0,0,1058.46,287.13,
gfx950,256,32768,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,128,0,6349.9173,mxfp4_moe_g1_a4w4_NE48_H7168_E3072_BM128,0.0%,14662.236,mxfp4_moe_g2_a4w4_NE48_H7168_E3072_TOPK6_BM128_NONATOMIC,0.0%,21012.1533,0,0,0,1236.24,184.44,
gfx950,256,1,7168,1536,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,6619.7039,mxfp4_moe_g1_a4w4_NE384_H7168_E1536_BM16_INLINEQUANT,0.0%,8722.1436,mxfp4_moe_g2_a4w4_NE384_H7168_E1536_TOPK6_BM16_ATOMIC_NT,0.0%,15341.8475,0,0,0,0.03,826.73,
gfx950,256,2,7168,1536,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,6633.6321,mxfp4_moe_g1_a4w4_NE384_H7168_E1536_BM16_INLINEQUANT,0.0%,8715.7173,mxfp4_moe_g2_a4w4_NE384_H7168_E1536_TOPK6_BM16_ATOMIC_NT,0.0%,15349.3494,0,0,0,0.05,826.33,
gfx950,256,4,7168,1536,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,6665.1301,mxfp4_moe_g1_a4w4_NE384_H7168_E1536_BM16_INLINEQUANT,0.0%,8933.627,mxfp4_moe_g2_a4w4_NE384_H7168_E1536_TOPK6_BM16_ATOMIC_NT,0.0%,15598.7571,0,0,0,0.1,813.12,
gfx950,256,8,7168,1536,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,6718.5369,mxfp4_moe_g1_a4w4_NE384_H7168_E1536_BM16_INLINEQUANT,0.0%,8873.5929,mxfp4_moe_g2_a4w4_NE384_H7168_E1536_TOPK6_BM16_ATOMIC_NT,0.0%,15592.1299,0,0,0,0.2,813.47,
gfx950,256,16,7168,1536,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,6819.528,mxfp4_moe_g1_a4w4_NE384_H7168_E1536_BM16_INLINEQUANT,0.0%,9119.3093,mxfp4_moe_g2_a4w4_NE384_H7168_E1536_TOPK6_BM16_ATOMIC_NT,0.0%,15938.8373,0,0,0,0.4,795.79,
gfx950,256,32,7168,1536,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,6864.5557,mxfp4_moe_g1_a4w4_NE384_H7168_E1536_BM16_INLINEQUANT,0.0%,9255.9884,mxfp4_moe_g2_a4w4_NE384_H7168_E1536_TOPK6_BM16_ATOMIC_NT,0.0%,16120.5442,0,0,0,0.79,786.84,
gfx950,256,64,7168,1536,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,7086.9702,mxfp4_moe_g1_a4w4_NE384_H7168_E1536_BM16_INLINEQUANT,0.0%,9593.0521,mxfp4_moe_g2_a4w4_NE384_H7168_E1536_TOPK6_BM16_ATOMIC_NT,0.0%,16680.0223,0,0,0,1.52,760.49,
